order_book_id,trading_hours,market_tplus,symbol,exchange,abbrev_symbol,round_lot,type,de_listed_date,listed_date,status
851241.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-肉制品,,SWRZP,1.0,INDX,0000-00-00,2011-10-10,Active
851242.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-调味发酵品Ⅲ,,SWTWFJPS,1.0,INDX,0000-00-00,2011-10-10,Active
851243.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-乳品,,SWRP,1.0,INDX,0000-00-00,2011-10-10,Active
851244.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-其他食品,,SWQTSP,1.0,INDX,0000-00-00,2011-10-10,Active
851246.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-预加工食品,,SWYJGSP,1.0,INDX,0000-00-00,2021-12-13,Active
851247.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-保健品,,SWBJP,1.0,INDX,0000-00-00,2021-12-13,Active
851251.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-白酒Ⅲ,,SWBJS,1.0,INDX,0000-00-00,2021-12-13,Active
851271.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-软饮料,,SWRYLⅢ,1.0,INDX,0000-00-00,2021-12-13,Active
851281.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-零食,,SWLS,1.0,INDX,0000-00-00,2021-12-13,Active
851282.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-烘焙食品,,SWHBSP,1.0,INDX,0000-00-00,2021-12-13,Active
851283.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-熟食,,SWSS,1.0,INDX,0000-00-00,2021-12-13,Active
851311.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-毛纺,,SWMF,1.0,INDX,0000-00-00,2003-10-15,Delisted
851312.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-棉纺,,SWMF,1.0,INDX,0000-00-00,2003-10-15,Active
851313.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-丝绸,,SWSC,1.0,INDX,0000-00-00,2003-10-15,Delisted
851314.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-印染,,SWYR,1.0,INDX,0000-00-00,2003-10-15,Active
851315.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-辅料,,SWFL,1.0,INDX,0000-00-00,2011-10-10,Active
851316.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-其他纺织,,SWQTFZ,1.0,INDX,0000-00-00,2011-10-10,Active
851317.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-纺织鞋类制造,,SWFZXLZZ,1.0,INDX,0000-00-00,2021-12-13,Active
851321.INDX,"09:31-11:30,13:01-15:00",0.0,申银服装,,SYFZ,1.0,INDX,0000-00-00,2003-10-15,
851322.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-男装,,SWNZ,1.0,INDX,0000-00-00,2011-10-10,Delisted
851323.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-女装,,SWNZ,1.0,INDX,0000-00-00,2011-10-10,Delisted
851324.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-休闲服装,,SWXXFZ,1.0,INDX,0000-00-00,2011-10-10,Delisted
851325.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-鞋帽及其他,,SWXMJQT,1.0,INDX,0000-00-00,2011-10-10,Active
851326.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-家纺,,SWJF,1.0,INDX,0000-00-00,2011-10-10,Active
851327.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-其他服装,,SWQTFZ,1.0,INDX,0000-00-00,2011-10-10,Delisted
851328.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-运动服装,,SWYDFZ,1.0,INDX,0000-00-00,2021-12-13,Active
851329.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-非运动服装,,SWFYDFZ,1.0,INDX,0000-00-00,2021-12-13,Active
851331.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-钟表珠宝,,SWZBZB,1.0,INDX,0000-00-00,2021-12-13,Active
851332.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-多品类奢侈品,,SWDPLSCP,1.0,INDX,0000-00-00,2021-12-13,Active
851333.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-其他饰品,,SWQTSP,1.0,INDX,0000-00-00,2021-12-13,Active
851411.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-造纸,,SWZZⅢ,1.0,INDX,0000-00-00,2003-10-15,Delisted
851412.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-大宗用纸,,SWDZYZ,1.0,INDX,0000-00-00,2021-12-13,Active
851413.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-特种纸,,SWTZZ,1.0,INDX,0000-00-00,2021-12-13,Active
851421.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-包装印刷,,SWBZYSⅢ,1.0,INDX,0000-00-00,2003-10-15,Delisted
851422.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-印刷,,SWYS,1.0,INDX,0000-00-00,2021-12-13,Active
851423.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-金属包装,,SWJSBZ,1.0,INDX,0000-00-00,2021-12-13,Active
851424.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-塑料包装,,SWSLBZ,1.0,INDX,0000-00-00,2021-12-13,Active
851425.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-纸包装,,SWZBZ,1.0,INDX,0000-00-00,2021-12-13,Active
851426.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-综合包装,,SWZHBZ,1.0,INDX,0000-00-00,2021-12-13,Active
851432.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-家具,,SWJJ,1.0,INDX,0000-00-00,2007-07-02,Delisted
851433.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-其他家用轻工,,SWQTJYQG,1.0,INDX,0000-00-00,2007-07-02,Delisted
851434.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-珠宝首饰,,SWZBSS,1.0,INDX,0000-00-00,2011-10-10,Delisted
851435.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-文娱用品,,SWWYYPⅢ,1.0,INDX,0000-00-00,2011-10-10,Delisted
851436.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-瓷砖地板,,SWCZDB,1.0,INDX,0000-00-00,2021-12-13,Active
851437.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-成品家居,,SWCPJJ,1.0,INDX,0000-00-00,2021-12-13,Active
851438.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-定制家居,,SWDZJJ,1.0,INDX,0000-00-00,2021-12-13,Active
851439.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-卫浴制品,,SWWYZP,1.0,INDX,0000-00-00,2021-12-13,Active
851441.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-其他轻工制造Ⅲ,,SWQTQGZZS,1.0,INDX,0000-00-00,2011-10-10,Delisted
851451.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-文化用品,,SWWHYP,1.0,INDX,0000-00-00,2021-12-13,Active
851452.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-娱乐用品,,SWYLYP,1.0,INDX,0000-00-00,2021-12-13,Active
851491.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-其他家居用品,,SWQTJJYP,1.0,INDX,0000-00-00,2021-12-13,Active
851511.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-原料药,,SWYLY,1.0,INDX,0000-00-00,2003-10-15,Active
851512.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-化学制剂,,SWHXZJ,1.0,INDX,0000-00-00,2003-10-15,Active
851513.INDX,"09:31-11:30,13:01-15:00",0.0,申万化学药,,SWHXY,1.0,INDX,0000-00-00,2003-10-15,
851521.INDX,"09:31-11:30,13:01-15:00",0.0,申银万国指数-中药Ⅲ,,SWZYS,1.0,INDX,0000-00-00,2003-10-15,Active
